customer_id,first_name,last_name,email,phone,date_of_birth,address,income,account_status,created_date
1,Danielle,Johnson,danielle.johnson@yahoo.com,225-959-5506,1951-05-01,"181 Johnson Course, East William, AK 74064",72365.99,active,2025-06-07
2,James,Santos,james.santos@hotmail.com,892-958-9935,1942-08-16,"402 Peterson Drives Apt. 511, Davisstad, PA 35172",37300.42,inactive,2025-07-14
3,Lindsay,Blair,lindsay.blair@hotmail.com,295-423-4811,2005-11-04,"84959 Janet Cape Apt. 413, South Joshuastad, GA 49021",130188.87,active,2026-05-07
5,Jessica,Martin,jessica.martin@yahoo.com,771-647-4425,1955-10-30,"503 Linda Locks, Carlshire, FM 94599",172986.95,inactive,2023-07-25
6,Leonard,Rios,leonard.rios@yahoo.com,420-981-6514,1983-10-07,"42388 Burgess Meadow Suite 532, Daviston, VI 14872",40690.68,inactive,2024-12-09
8,Kayla,Peterson,kayla.peterson@yahoo.com,327-587-2291,1967-06-24,"48281 Skinner Parkways Apt. 252, New Mariotown, DE 48077",140553.02,suspended,2020-09-01
9,Natasha,Decker,natasha.decker@yahoo.com,791-396-2139,1953-03-16,"117 Tiffany Place, East Donna, OH 22144",28173.01,active,2022-08-17
10,Joseph,Brennan,joseph.brennan@yahoo.com,281-438-2654,1939-05-05,"Unit 8346 Box 5787, DPO AE 32994",102388.02,inactive,2023-06-09
11,Jeffrey,Morgan,jeffrey.morgan@hotmail.com,464-582-4989,1951-08-31,"10310 Jones Freeway, Elizabethborough, ND 17843",64510.56,inactive,2022-08-04
12,Jennifer,Khan,jennifer.khan@hotmail.com,348-651-2790,1945-09-24,"3116 Henderson Mountain Apt. 106, Laurenville, IA 25613",136579.05,active,2025-11-18
13,James,West,james.west@yahoo.com,319-292-1929,1994-01-13,"17810 Tanya Terrace Apt. 267, Lewisfurt, MH 08186",169984.36,active,2021-07-01
14,Franklin,Smith,franklin.smith@yahoo.com,523-610-5386,1988-02-23,"6872 Kenneth Centers Apt. 500, Shawhaven, GA 07956",32693.87,suspended,2026-04-28
15,Susan,Miller,susan.miller@gmail.com,417-871-9179,1944-04-15,"361 Beth Canyon, South Dianeshire, NC 41968",105830.28,suspended,2023-02-26
16,Sarah,Harris,sarah.harris@hotmail.com,471-342-5040,1967-07-13,"2475 Albert Road Apt. 183, Davidstad, FM 09517",183387.55,suspended,2025-01-29
17,Natasha,Wood,natasha.wood@gmail.com,638-797-7543,1985-02-14,"808 Huynh Cove Apt. 411, West Juan, IL 94559",98363.21,active,2020-02-16
18,Matthew,Watts,matthew.watts@yahoo.com,293-973-1771,1962-12-25,"16400 Wise Route Suite 278, Hoffmanville, CA 91074",209164.85,active,2021-02-23
19,Rebecca,Gardner,rebecca.gardner@yahoo.com,896-632-2040,1952-05-27,"2045 Rachel Fords, Lake Curtis, WI 73886",103418.34,suspended,2024-11-20
20,Nicole,Russell,nicole.russell@hotmail.com,457-766-1188,1966-09-14,"26025 Pham Way, West Erik, UT 14669",169022.92,active,2020-09-30
21,Patrick,Williams,patrick.williams@yahoo.com,968-473-6573,1947-07-15,"4330 Raymond Harbors Apt. 458, Frazierside, MA 04118",42764.58,inactive,2020-08-29
22,Darrell,Waller,darrell.waller@gmail.com,730-580-2160,1994-07-04,"19655 Obrien Pass Apt. 693, Bradleychester, AL 68647",233759.16,active,2021-08-05
23,Sara,Ryan,sara.ryan@hotmail.com,456-620-7951,1963-02-24,"USNS Diaz, FPO AE 87563",153191.39,active,2025-06-28
24,Samantha,Hanson,samantha.hanson@hotmail.com,824-767-6267,1975-02-24,"465 Terry Plaza Apt. 366, New Ashley, MO 72320",221905.56,suspended,2024-11-14
25,Martha,Torres,martha.torres@gmail.com,427-369-2251,1979-08-13,"7738 Leon Underpass Apt. 148, Clarencebury, TX 41188",213076.26,active,2021-03-15
26,Jeffrey,Gonzalez,jeffrey.gonzalez@gmail.com,446-780-2290,1987-03-19,"176 Jennifer Lights Suite 632, Port Michelleville, WI 56225",37015.07,inactive,2026-01-12
27,Jeffery,Brock,jeffery.brock@hotmail.com,984-328-3103,2002-06-27,"317 Laurie Shores, Stephaniemouth, RI 94777",164464.68,suspended,2020-09-16
28,Patricia,Simmons,patricia.simmons@hotmail.com,740-821-7932,1993-11-18,"774 Mary Harbor, Simsview, NV 10656",232088.57,suspended,2023-09-17
29,Jennifer,Young,jennifer.young@yahoo.com,930-519-7537,1940-12-08,"23623 Robert Isle, Perryborough, MP 55570",238923.16,suspended,2024-06-05
31,Erin,Powell,erin.powell@gmail.com,565-790-7751,1978-05-13,"806 Christopher Meadow, Port Steven, AR 34600",148633.71,active,2026-06-12
33,John,Wells,john.wells@gmail.com,485-885-8953,1962-07-27,"4529 Kimberly Estates, Danieltown, ME 75971",65560.57,active,2024-01-06
34,Erica,Rubio,erica.rubio@yahoo.com,790-684-4981,1943-10-20,"USNS Jones, FPO AP 82714",192185.51,inactive,2020-04-12
39,Andrea,Bell,andrea.bell@yahoo.com,300-251-9856,1968-12-09,"13518 James Streets Suite 498, Tinaborough, LA 30317",203598.12,active,2020-07-05
41,Danny,Jones,danny.jones@yahoo.com,481-909-9714,2003-06-08,"29413 Angela Mall, Port Alexandra, NV 58529",76875.08,active,2024-11-01
42,Kenneth,Chapman,kenneth.chapman@yahoo.com,913-948-8973,1983-02-07,"133 Guerrero Estate, East Andrea, GA 00851",52364.9,inactive,2021-12-09
43,Ricky,Norris,ricky.norris@yahoo.com,793-953-9883,1989-03-01,"4713 French Road, South Danny, IN 85387",31532.58,inactive,2026-01-10
44,Edward,Baker,edward.baker@gmail.com,798-688-9238,2003-07-26,"9947 Taylor Hollow, Benderhaven, ND 65223",222103.94,suspended,2026-02-13
45,Samuel,George,samuel.george@yahoo.com,720-282-4044,1994-07-28,"13990 Johnston Track Apt. 787, Howardshire, NE 83703",33211.74,active,2026-01-17
46,Lisa,Costa,lisa.costa@yahoo.com,613-322-5033,1948-02-13,"1256 Roberts Locks Apt. 715, Marcusfurt, VI 67950",146520.03,active,2024-01-17
48,David,Dudley,david.dudley@hotmail.com,444-471-7484,1990-05-15,"8086 Jeffrey Ville, South Staceyberg, NM 94427",47054.98,suspended,2023-02-28
