customer_id,first_name,last_name,email,phone,date_of_birth,address,income,account_status,created_date
1,D***,J***,d***@yahoo.com,***-***-5506,1951-**-**,[MASKED ADDRESS],50000-74999,active,2025-**-**
2,J***,S***,j***@hotmail.com,***-***-9935,1942-**-**,[MASKED ADDRESS],25000-49999,inactive,2025-**-**
3,L***,B***,l***@hotmail.com,***-***-4811,2005-**-**,[MASKED ADDRESS],125000-149999,active,2026-**-**
5,J***,M***,j***@yahoo.com,***-***-4425,1955-**-**,[MASKED ADDRESS],150000-174999,inactive,2023-**-**
6,L***,R***,l***@yahoo.com,***-***-6514,1983-**-**,[MASKED ADDRESS],25000-49999,inactive,2024-**-**
8,K***,P***,k***@yahoo.com,***-***-2291,1967-**-**,[MASKED ADDRESS],125000-149999,suspended,2020-**-**
9,N***,D***,n***@yahoo.com,***-***-2139,1953-**-**,[MASKED ADDRESS],25000-49999,active,2022-**-**
10,J***,B***,j***@yahoo.com,***-***-2654,1939-**-**,[MASKED ADDRESS],100000-124999,inactive,2023-**-**
11,J***,M***,j***@hotmail.com,***-***-4989,1951-**-**,[MASKED ADDRESS],50000-74999,inactive,2022-**-**
12,J***,K***,j***@hotmail.com,***-***-2790,1945-**-**,[MASKED ADDRESS],125000-149999,active,2025-**-**
13,J***,W***,j***@yahoo.com,***-***-1929,1994-**-**,[MASKED ADDRESS],150000-174999,active,2021-**-**
14,F***,S***,f***@yahoo.com,***-***-5386,1988-**-**,[MASKED ADDRESS],25000-49999,suspended,2026-**-**
15,S***,M***,s***@gmail.com,***-***-9179,1944-**-**,[MASKED ADDRESS],100000-124999,suspended,2023-**-**
16,S***,H***,s***@hotmail.com,***-***-5040,1967-**-**,[MASKED ADDRESS],175000-199999,suspended,2025-**-**
17,N***,W***,n***@gmail.com,***-***-7543,1985-**-**,[MASKED ADDRESS],75000-99999,active,2020-**-**
18,M***,W***,m***@yahoo.com,***-***-1771,1962-**-**,[MASKED ADDRESS],200000-224999,active,2021-**-**
19,R***,G***,r***@yahoo.com,***-***-2040,1952-**-**,[MASKED ADDRESS],100000-124999,suspended,2024-**-**
20,N***,R***,n***@hotmail.com,***-***-1188,1966-**-**,[MASKED ADDRESS],150000-174999,active,2020-**-**
21,P***,W***,p***@yahoo.com,***-***-6573,1947-**-**,[MASKED ADDRESS],25000-49999,inactive,2020-**-**
22,D***,W***,d***@gmail.com,***-***-2160,1994-**-**,[MASKED ADDRESS],225000-249999,active,2021-**-**
23,S***,R***,s***@hotmail.com,***-***-7951,1963-**-**,[MASKED ADDRESS],150000-174999,active,2025-**-**
24,S***,H***,s***@hotmail.com,***-***-6267,1975-**-**,[MASKED ADDRESS],200000-224999,suspended,2024-**-**
25,M***,T***,m***@gmail.com,***-***-2251,1979-**-**,[MASKED ADDRESS],200000-224999,active,2021-**-**
26,J***,G***,j***@gmail.com,***-***-2290,1987-**-**,[MASKED ADDRESS],25000-49999,inactive,2026-**-**
27,J***,B***,j***@hotmail.com,***-***-3103,2002-**-**,[MASKED ADDRESS],150000-174999,suspended,2020-**-**
28,P***,S***,p***@hotmail.com,***-***-7932,1993-**-**,[MASKED ADDRESS],225000-249999,suspended,2023-**-**
29,J***,Y***,j***@yahoo.com,***-***-7537,1940-**-**,[MASKED ADDRESS],225000-249999,suspended,2024-**-**
